"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
10718,"Application Submitted","James Hamilton Way - Solar Farm","Solar Photovoltaics",NA,"Midlothian","S12000019"
10734,"Application Submitted","Low Drumclog Farm, Drumclog - 3 Wind Turbines","Wind Onshore",20,"South Lanarkshire","S12000029"
10866,"Awaiting Construction","Old Dalkeith Road, Danderhall - Solar panels","Solar Photovoltaics",0.15,"Midlothian","S12000019"
10883,"Application Submitted","Nitshill Wind Farm, Hundland Hill","Wind Onshore",26.4,"Orkney Islands","S12000023"
10900,"Application Submitted","Pitheavlis - Wind Turbine","Wind Onshore",1,"Perth and Kinross","S12000048"
10950,"Application Submitted","North Inches - Solar Photovoltaic Electricity Generation","Solar Photovoltaics",NA,"Falkirk","S12000014"
10963,"Application Submitted","Montreathmont Moor Forest - Solar Farm & Battery Storage","Solar Photovoltaics",42,"Angus","S12000041"
10984,"Awaiting Construction","Wick Airport Industrial Estate - Solar Panels","Solar Photovoltaics",0.28,"Highland","S12000017"
10993,"Application Submitted","Frodo Solar and Battery Energy Development","Solar Photovoltaics",60.1,"Aberdeenshire","S12000034"
11032,"Awaiting Construction","Easter Drumclair Wood","Wind Onshore",6,"Falkirk","S12000014"
11065,"Application Submitted","Hopsrig Wind Farm","Wind Onshore",85.5,"Dumfries and Galloway","S12000006"
11101,"Application Submitted","Faulds Park Road- Solar PV Panlels","Solar Photovoltaics",0.341,"Inverclyde","S12000018"
11155,"Awaiting Construction","Kirkcaldy W W T W, Nether Street- Solar Panels","Solar Photovoltaics",0.65,"Fife","S12000047"
11173,"Application Submitted","Sandmill, Sandhead - Solar Panels","Solar Photovoltaics",0.46,"Dumfries and Galloway","S12000006"
11175,"Application Submitted","Greenacres, Braco - Hydrogen Production Facility","Hydrogen",NA,"Perth and Kinross","S12000048"
11177,"Application Submitted","Kincraig - Solar Farm and battery storage system","Solar Photovoltaics",21,"Aberdeenshire","S12000034"
11248,"Under Construction","Balmcassie Commercial Park - Anaerobic digestion plant","Anaerobic Digestion",3.5,"Aberdeenshire","S12000034"
11249,"Under Construction","Portgordon - Anaerobic Digestion Tanks","Anaerobic Digestion",NA,"Moray","S12000020"
11263,"Awaiting Construction","Dunfermline North - Solar Photovoltaic Array/Battery storage","Solar Photovoltaics",29.9,"Fife","S12000047"
11289,"Awaiting Construction","Mains Of Haulkerton - Solar Panels","Solar Photovoltaics",0.15,"Aberdeenshire","S12000034"
11340,"Awaiting Construction","Burnfoot Industrial Estate - Solar Panels","Solar Photovoltaics",0.48,"Scottish Borders","S12000026"
11341,"Awaiting Construction","Enterprise Drive - Solar Panels","Solar Photovoltaics",0.18,"Aberdeenshire","S12000034"
11441,"Application Submitted","Teviot Wind Farm","Solar Photovoltaics",34,"Scottish Borders","S12000026"
11587,"Awaiting Construction","Hillhead Of Coldwells, Longhaven - Biomass Boilers","Biomass (dedicated)",0.26,"Aberdeenshire","S12000034"
11615,"Awaiting Construction","Plexus Lee, Forbes Way - Solar Panels","Solar Photovoltaics",0.51,"Scottish Borders","S12000026"
11642,"Awaiting Construction","Archer House, Main Road, Blackburn -  Solar Pv Panels","Solar Photovoltaics",0.256,"Aberdeenshire","S12000034"
11675,"Application Submitted","Knockkippen Wind, Solar & Battery Farm","Solar Photovoltaics",20,"East Ayrshire","S12000008"
11686,"Awaiting Construction","HY2GO - Hydrogen Electrolysis Facility","Hydrogen",NA,"South Lanarkshire","S12000029"
11705,"Awaiting Construction","Arbikie, Inverkeilor - Green Hydrogen Project & Wind Turbine","Hydrogen",0.8,"Angus","S12000041"
11706,"Awaiting Construction","Arbikie, Inverkeilor - Green Hydrogen Project & Wind Turbine","Wind Onshore",1,"Angus","S12000041"
11761,"Application Submitted","Rothesay Dock Plastic to Hydrogen Recycling Facility","Hydrogen",3.8,"West Dunbartonshire","S12000039"
11856,"Application Submitted","Little Gala Wind Farm","Wind Onshore",30,"South Lanarkshire","S12000029"
11879,"Application Submitted","Ailsa Hospital - Wind Turbine","Wind Onshore",1,"South Ayrshire","S12000028"
11887,"Awaiting Construction","Lunar Freezing & Cold Storage, Sandhaven Road - Solar panels","Solar Photovoltaics",0.29,"Aberdeenshire","S12000034"
11891,"Awaiting Construction","Harris Academy, Perth Road - Extension/Roof Solar Photovoltaic Array","Solar Photovoltaics",NA,"Dundee City","S12000042"
11909,"Awaiting Construction","Cunninghame Road, Farm Castle Industrial Estate - Solar Panels","Solar Photovoltaics",0.19,"South Lanarkshire","S12000029"
11912,"Application Submitted","Drysdale Vegetable Growers, Old Cambus -  Solar PV Panels","Solar Photovoltaics",0.80042,"Scottish Borders","S12000026"
11933,"Application Submitted","Bankhead Recycling - Solar Array, Battery Storage & Hydrogen","Solar Photovoltaics",3,"Aberdeenshire","S12000034"
11935,"Application Submitted","Bankhead Recycling - Solar Array, Battery Storage & Hydrogen","Large Hydro",NA,"Aberdeenshire","S12000034"
11940,"Application Submitted","Hollywood Bowl Showcase Leisure Park, Barrbridge Road - Solar Array","Solar Photovoltaics",0.18,"North Lanarkshire","S12000050"
11955,"Application Submitted","The Wyman Gordon Facility, Nettlehill Road- Solar Farm","Solar Photovoltaics",2,"West Lothian","S12000040"
11960,"Application Submitted","Campbells Prime Meat, The Heatherfield Whitecross - Solar Panels","Solar Photovoltaics",NA,"Falkirk","S12000014"
11976,"Application Submitted","Coast Viners Animal Nutrition, Drumlithie - Solar Array&Battery Storage","Solar Photovoltaics",9.2,"Aberdeenshire","S12000034"
11989,"Application Submitted","Pentland Floating Offshore Wind Farm","Wind Offshore",100,"Offshore"," "
12006,"Awaiting Construction","Blackburn Waste Water Treatrment, Redhouse Road - Solar Panels","Solar Photovoltaics",0.34,"West Lothian","S12000040"
12009,"Application Submitted","Aggreko, Stirling Road - Solar Panels","Solar Photovoltaics",NA,"West Dunbartonshire","S12000039"
12041,"Application Submitted","Dungavel House, IRC Muirkirk Road - Wind Farm","Wind Onshore",11.4,"South Lanarkshire","S12000029"
12079,"Application Submitted","Sandy Knowe Wind Farm Extension","Wind Onshore",21.6,"Dumfries and Galloway","S12000006"
12103,"Application Submitted","Norbord Europe, Morayston - Anerobic Digestion Gas Injector","Anaerobic Digestion",NA,"Highland","S12000017"
12115,"Awaiting Construction","Bathgate Waste Water Treatment - Solar Panels","Solar Photovoltaics",0.344,"West Lothian","S12000040"
12173,"Application Submitted","Roughmute Sewage Treatment Works - Solar Panels","Solar Photovoltaics",0.812,"Falkirk","S12000014"
12227,"Application Submitted","Blackiemuir - Solar Array","Solar Photovoltaics",0.2,"Aberdeenshire","S12000034"
12271,"Application Submitted","Tennant Avenue College, East Kilbride - Solar Panels","Solar Photovoltaics",0.936,"South Lanarkshire","S12000029"
12275,"Application Submitted","Mill Rig Wind Farm","Wind Onshore",36,"South Lanarkshire","S12000029"
12290,"Application Submitted","Strath Oykel Wind Farm","Wind Onshore",77.6,"Highland","S12000017"
12294,"Application Submitted","Garcrogo Hill And Barmark Hill, Corsock - Wind Farm & Battery Storage","Wind Onshore",NA,"Dumfries and Galloway","S12000006"
